iata_code,icao_code,name,country
A8,BGL,"Benin Golf Air",Benin
,BGM,"Bugulma Air Enterprise",Russia
,BGR,"Budget Air Bangladesh",Bangladesh
,BGT,"Bergen Air Transport",Norway
U4,BHA,"Buddha Air",Nepal
,BHI,"Balkh Airlines",Afghanistan
,BHL,"Bristow Helicopters","United Kingdom"
,BHN,"Bristow Helicopters Nigeria",Nigeria
,BHO,"Bhoja Airlines",Pakistan
4T,BHP,"Belair Airlines",Switzerland
,BHR,"Bighorn Airways","United States"
UP,BHS,Bahamasair,Bahamas
,BHT,"Bright Air",Netherlands
,BHY,"Bosphorus European Airways",Turkey
,BID,Binair,Germany
,BIG,"Big Island Air","United States"
BS,BIH,"British International Helicopters","United Kingdom"
,BIL,"Billund Air Center",Denmark
,BIN,"Boise Interagency Fire Center","United States"
,BIO,"Bioflight A/S",Denmark
,BIR,"Bird Leasing","United States"
,BIZ,"Bizjet Ltd","United Kingdom"
,BJA,"Baja Air",Mexico
,BJC,"Baltic Jet Aircompany",Latvia
,BJS,"Business Jet Solutions","United States"
B4,BKA,Bankair,"United States"
,BKF,"BF-Lento OY",Finland
,BKK,Blink,"United Kingdom"
,BKJ,"Barken International","United States"
PG,BKP,"Bangkok Airways",Thailand
,BKV,Bukovyna,Ukraine
,BLB,"Blue Bird Aviation",Sudan
,BLC,Bellesavia,Belarus
,BLE,"Blue Line",France
KF,BLF,Blue1,Finland
,BLG,Belgavia,Belgium
,BLH,"Blue Horizon Travel Club","United States"
,BLJ,"Blue Jet",Spain
,BLL,"Baltic Airlines",Russia
,BLN,"Bali International Air Service",Indonesia
JV,BLS,"Bearskin Lake Air Service",Canada
,BLT,"Baltic Aviation","United States"
B3,BLV,"Bellview Airlines",Nigeria
BD,BMA,BMI,"United Kingdom"
BM,BMR,"BMI Regional","United Kingdom"
,BMD,"British Medical Charter","United Kingdom"
,BME,"Briggs Marine Environmental Services","United Kingdom"
,BMH,"Bristow Masayu Helicopters",Indonesia
WW,BMI,Bmibaby,"United Kingdom"
CH,BMJ,"Bemidji Airlines","United States"
5Z,BML,"Bismillah Airlines",Bangladesh
,BMN,"Bowman Aviation","United States"
,BMW,BMW,Germany
,BMX,"Banco de Mexico",Mexico
,BND,"Bond Offshore Helicopters","United Kingdom"
,BNE,"Benina Air",Libya
,BNG,"BN Group Limited","United Kingdom"
,BNJ,"Air Service Liège (ASL)",Belgium
,BNL,"Blue Nile Ethiopia Trading",Ethiopia
,BNR,"Bonair Aviation",Canada
,BNS,"Bancstar - Valley National Corporation","United States"
,BNT,"Bentiu Air Transport",Sudan
,BNV,"Benane Aviation Corporation",Mauritania
,BNW,"British North West Airlines","United Kingdom"
,BOA,Boniair,Macedonia
,BOD,"Bond Air Services",Uganda
,BOE,Boeing,"United States"
,BOF,Bordaire,Canada
,BOO,"Bookajet Limited","United Kingdom"
BO,BOU,"Bouraq Indonesia Airlines",Indonesia
BV,BPA,"Blue Panorama Airlines",Italy
,BPK,"Berkhut ZK",Kazakhstan
,BPO,Bundespolizei-Fliegertruppe,Germany
,BPS,"Budapest Aircraft Services/Manx2",Hungary
,BPT,"Bonus Aviation","United Kingdom"
,BPX,"British Petroleum Exploration",Colombia
7R,BRB,"BRA-Transportes Aéreos",Brazil
,BRD,"Brock Air Services",Canada
,BRE,"Breeze Ltd",Ukraine
8E,BRG,"Bering Air","United States"
,BRK,"Briansk State Air Enterprise",Russia
,BRN,"Branson Airlines","United States"
,BRS,"Brazilian Air Force",Brazil
,BRT,"British Regional Airlines","United Kingdom"
B2,BRU,"Belavia Belarusian Airlines",Belarus
,BRV,"Bravo Air Congo","Democratic Republic of the Congo"
,BRW,"Bright Aviation Services",Bulgaria
BN,BNF,"Braniff International Airways","United States"
,BRX,"Buffalo Express Airlines","United States"
,BRY,Burundayavia,Kazakhstan
,BSC,"Bistair - Fez",Kyrgyzstan
,BSD,"Blue Star Airlines",Mexico
,BSI,"Brasair Transportes Aéreos",Brazil
,BSJ,"Blue Swan Aviation","United Kingdom"
,BSM,"Blue Sky Aviation",Lebanon
,BSS,"Bissau Aero Transporte",Guinea-Bissau
,BST,"Best Air",Turkey
,BSW,"Blue Sky Airways","Czech Republic"
GQ,BSY,"Big Sky Airlines","United States"
V9,BTC,"BAL Bashkirian Airlines",Russia
,BTH,"Baltijas Helicopters",Latvia
BQ,BTL,"Baltia Air Lines","United States"
,BTR,Botir-Avia,Kyrgyzstan
,GAA,"Business Express","United States"
,BTT,BT-Slavuta,Ukraine
4B,BTQ,"Boutique Air","United States"
Y6,BTV,"Batavia Air",Indonesia
L9,BTZ,"Bristow U.S. LLC","United States"
1T,BUC,"Bulgarian Air Charter",Bulgaria
,BUL,"Blue Airlines","Democratic Republic of the Congo"
BU,BUN,"Buryat Airlines Aircompany",Russia
,BUZ,"Buzz Stansted","United Kingdom"
,BVA,"Buffalo Airways","United States"
,BVC,"Bulgarian Aeronautical Centre",Bulgaria
,BVN,"Baron Aviation Services","United States"
J8,BVT,"Berjaya Air",Malaysia
,BVU,"Bellview Airlines, Sierra Leone","Sierra Leone"
QW,BWG,"Blue Wings",Germany
,BWI,"Blue Wing Airlines",Suriname
,BWL,"British World Airlines","United Kingdom"
,BXA,"Bahrain Executive Air Services",Bahrain
,BXH,"Bar XH Air",Canada
SN,BXI,"Brussels International Airlines",Belgium
,BYA,"Berry Aviation","United States"
,BYC,"Cambodia Bayon Airlines",Cambodia
,BYF,"San Carlos Flight Center","United States"
,BYL,"Bylina Joint-Stock Company",Russia
,BYR,"Berytos Airlines",Lebanon
,BYE,"Bayu Indonesia Air",Indonesia
,BZA,"Bizair Fluggesellschaft",Germany
DB,BZH,"Brit Air",France
,BZZ,"Butane Buzzard Aviation Corporation","United Kingdom"
,AUJ,"Business Flight Salzburg",Austria
,CKM,"BKS Air (Rivaflecha)",Spain
,CLF,"Bristol Flying Centre","United Kingdom"
,CLN,"Barnes Olsen Aeroleasing","United Kingdom"
,CPJ,"Baltimore Air Transport","United States"
E9,CXS,"Boston-Maine Airways","United States"
SN,BEL,"Brussels Airlines",Belgium
,EAH,"Baltimore Airways","United States"
,EBA,"Bond Aviation",Italy
,EXB,"Brazilian Army Aviation",Brazil
,EXP,"Business Express Delivery",Canada
,FOS,"Bel Limited",Russia
,HAW,"Bangkok Aviation Center",Thailand
,HAX,Benair,Norway
NT,IBB,"Binter Canarias",Spain
,IRJ,"Bonyad Airlines",Iran
,IVR,Burundaiavia,Kazakhstan
KJ,LAJ,"British Mediterranean Airways","United Kingdom"
,LBY,"Belle Air",Albania
,LED,"Blom Geomatics",Norway
,LTL,"Benin Littoral Airways",Benin
,LXJ,"Bombardier Business Jet Solutions","United States"
FB,LZB,"Bulgaria Air",Bulgaria
,MBR,"Brazilian Navy Aviation",Brazil
8N,NKF,"Barents AirLink",Sweden
,NYB,"Belgian Navy",Belgium
,OGJ,"Bakoji Airlines Services",Nigeria
,PEB,"Benders Air",Sweden
,PNT,"Balmoral Central Contracts","South Africa"
,POI,"BGB Air",Kazakhstan
,PPS,"Butte Aviation","United States"
,RHD,"Bond Air Services","United Kingdom"
,RLR,"Business Airfreight","United States"
,RPX,"BAC Express Airlines","United Kingdom"
,RRS,"Boscombe Down DERA (Formation)","United Kingdom"
,SCJ,"Business Jet Sweden",Sweden
,SHT,"British Airways Shuttle","United Kingdom"
,SKH,"British Sky Broadcasting","United Kingdom"
,TXB,"Bell Helicopter Textron",Canada
,UKA,"Buzzaway Limited","United Kingdom"
,VLX,"Biz Jet Charter","United States"
,VOL,"Blue Chip Jet",Sweden
,WFD,"BAE Systems","United Kingdom"
,WTN,"BAE Systems","United Kingdom"
,XBO,"Baseops International","United States"
,XDA,"Bureau Veritas",France
,XMS,"British Airways Santa","United Kingdom"
,ZBA,"Boskovic Air Charters Limited",Kenya
,BLM,"Blue Sky Airlines",Armenia
,JMP,Businesswings,Germany
CJ,CFE,"BA CityFlyer","United Kingdom"
OB,BOV,"Boliviana de Aviación",Bolivia
YB,BRJ,Borajet,Turkey
MX,MXY,Breeze_Airways,"United States"
BW,BWA,"Caribbean Airlines","Trinidad and Tobago"
,QAI,"Conquest Air","United States"
,CNW,"Continental Airways",Moldovoa
,CBH,"Corporate Eagle Management Services","United States"
,CCT,"Connect Air",Canada
,CME,"Commerce Bank","United States"
,CAA,"Civil Aviation Authority of the Czech Republic","Czech Republic"
,BKR,"Civil Air Patrol South Carolina Wing","United States"
,BFN,"Compagnie Nationale Naganagani","Burkino Faso"
,AWX,"Civil Aviation Authority Directorate of Airspace Policy","United Kingdom"
,BBN,"Civil Aviation Authority Airworthiness Division","United Kingdom"
,AIO,"Chief of Staff, United States Air Force","United States"
,AID,"Christian Konig - Century Airbirds",Austria
7N,PWD,"Pawa Dominicana","Dominican Republic"
,SMW,"Carpatair Flight Service",Romania
,CCL,"Cambodia Airlines",Cambodia
KR,KME,"Cambodia Airways",Cambodia
,CCB,"Caricom Airways",Barbados
,CYH,"China Southern Airlines Henan",China
,CFB,"Chongqing Forebase General Aviation",China
,XCA,"Colt Transportes Aereos",Brazil
,GCY,"CHC Global Operations International","United Kingdom"
,TIP,"C and M Aviation","United States"
,SRJ,"C Air Jet Airlines","Syrian Arab Republic"
,ORO,"C N Air",Spain
,RWG,"C&M Airways","United States"
,RMU,"C.S.P., Societe",Mauritania
,CJZ,"Caliber Jet","United States"
,CRC,"Cameroon Airlines Corporation",Cameroon
,CBI,Cabi,Ukraine
,CPI,"Compagnia Aeronautica Italiana",Italy
5C,ICL,"CAL Cargo Air Lines",Israel
,CMR,"CAM Air Management","United Kingdom"
,CTZ,"CATA Línea Aérea",Argentina
,CCF,"CCF Manager Airline",Germany
,CED,"CEDTA (Compañía Ecuatoriana De Transportes Aéreos)",Ecuador
,HBI,"CHC Denmark",Denmark
,HEM,"CHC Helicopter",Australia
AW,SCH,"CHC Airways",Netherlands
,HKS,"CHC Helikopter Service",Norway
,VCI,CI-Tours,"Ivory Coast"
,CKC,"CKC Services","United States"
,CMZ,"CM Stair",Mauritania
,CNT,"Centre national d'études des télécommunications - C.N.E.T.",France
,OAP,"COAPA AIR",Mexico
,PDR,COMAV,Namibia
,CRH,"CRI Helicopters Mexico",Mexico
,IRO,"CSA Air","United States"
,CSE,"CSE Aviation","United Kingdom"
,CTQ,"CTK Network Aviation",Ghana
,CBR,"Cabair College of Air Training","United Kingdom"
,CVE,"Cabo Verde Express","Cape Verde"
,CWD,"Caernarfon Airworld","United Kingdom"
,CXE,"Caicos Express Airways","Turks and Caicos Islands"
,CCE,"Cairo Air Transport Company",Egypt
,CGC,"Cal Gulf Aviation","São Tomé and Príncipe"
,REZ,"Cal-West Aviation","United States"
,CSL,"California Air Shuttle","United States"
3C,CMV,"Calima Aviación",Spain
MO,CAV,"Calm Air",Canada
R9,CAM,"Camai Air","United States"
UY,UYC,"Cameroon Airlines",Cameroon
,HSO,"Campania Helicopteros De Transporte",Spain
C6,CJA,CanJet,Canada
,PIL,"Canada Jet Charters",Canada
CP,CDN,"Canadian Airlines",Canada
,CTG,"Canadian Coast Guard",Canada
,HIA,"Canadian Eagle Aviation",Canada
,CFC,"Canadian Forces",Canada
,BZD,"Canadian Global Air Ambulance",Canada
,TKR,"Canadian Interagency Forest Fire Centre",Canada
,XNC,"Canadian National Telecommunications",Canada
7F,AKT,"Canadian North",Canada
CP,CPC,"Canadian Pacific Airlines",Canada
,CDR,"Canadian Regional Airlines",Canada
,CWH,"Canadian Warplane Heritage Museum",Canada
W2,CWA,"Canadian Western Airlines",Canada
,CWW,Canair,China
,CUI,"Cancun Air",Mexico
9K,KAP,"Cape Air","United States"
,CTO,"Cape Air Transport",Australia
,SEM,"Cape Central Airways","United States"
,CMY,"Cape Smythe Air","United States"
,CPX,"Capital Air Service","United States"
,CPD,"Capital Airlines",Kenya
,NCP,"Capital Airlines Limited",Nigeria
PT,CCI,"Capital Cargo International Airlines","United States"
,CCQ,"Capital City Air Carriers","United States"
,EGL,"Capital Trading Aviation","United Kingdom"
,CEX,"Capitol Air Express","United States"
,CWZ,"Capitol Wings Airline","United States"
,VAN,"Caravan Air",Mauritania
,CWN,"Cardiff Wales Flying Club","United Kingdom"
,FVA,"Cardinal/Air Virginia","United States"
,GOL,Cardolaar,Namibia
,CDI,"Cards Air Services",Philippines
,CFH,CareFlight,Australia
,CDM,"Carga Aérea Dominicana","Dominican Republic"
,EST,"Carga Express Internacional",Mexico
GG,GGC,"Cargo 360","United States"
,MCX,"Cargo Express",Mauritania
,CLM,"Cargo Link (Caribbean)",Barbados
P3,CLU,"Cargo Logic Air","United Kingdom"
,CTW,"Cargo Three",Panama
2G,CRG,Cargoitalia,Italy
W8,CJT,"Cargojet Airways",Canada
CV,CLX,Cargolux,Luxembourg
C8,ICV,"Cargolux Italia",Italy
,CGM,Cargoman,Oman
,DEL,"Carib Aviation","Antigua and Barbuda"
,BCB,"Carib Express",Barbados
,DCC,"Caribbean Air Cargo",Barbados
,CLT,"Caribbean Air Transport",Netherlands
,IQQ,"Caribbean Airways",Barbados
,CSX,"Choice Airways","United States"
,TLC,"Caribbean Express","United States"
8B,GFI,"Caribbean Star Airlines","Antigua and Barbuda"
,CRB,"Caricom Airways",Suriname
,CRT,Caribintair,Haiti
,CVG,"Carill Aviation","United Kingdom"
V3,KRP,Carpatair,Romania
,CRR,Carranza,Chile
,ULS,"Carroll Air Service","United States"
,CMT,"Casement Aviation","United States"
,CSO,"Casino Airline","United States"
,CSP,"Casper Air Service","United States"
RV,CPN,"Caspian Airlines",Iran
,CSJ,"Castle Aviation","United States"
,CAZ,"Cat Aviation",Switzerland
,CBT,"Catalina Flying Boats","United States"
,TEX,Catex,France
KA,HDA,"Cathay Dragon","Hong Kong"
CX,CPA,"Cathay Pacific","Hong Kong"
,CJR,"Caverton Helicopters",Nigeria
KX,CAY,"Cayman Airways","Cayman Islands"
5J,CEB,"Cebu Pacific",Philippines
,CIL,"Cecil Aviation","United Kingdom"
,CEG,"Cega Aviation","United Kingdom"
,CEC,"Celtic Airways","United Kingdom"
,CWE,"Celtic West","United Kingdom"
,CEV,"Centre d'Essais en Vol",France
,CNL,"Centennial Airlines","United States"
,CNS,"Cobalt Air LLC","United States"
,CVO,"Center Vol",Spain
,CTS,Center-South,Russia
,CET,"Centrafrican Airlines","Central African Republic"
,CAX,"Central Air Express","Democratic Republic of the Congo"
,CTL,"Central Airlines","United States"
,CNY,"Central Airways","Sierra Leone"
,ACN,"Central American Airlines",Nicaragua
,YOG,"Central Aviation","United States"
,DRN,"Central De Discos De Reynosa",Mexico
,CMA,"Central European Airlines","Czech Republic"
,CHA,"Central Flying Service","United States"
,CEM,"Central Mongolia Airways",Mongolia
9M,GLR,"Central Mountain Air",Canada
,CQC,"Central Queensland Aviation College",Australia
,CSI,"Central Skyport","United States"
,CLW,Centralwings,Poland
,DTV,"Centre Airlines","United States"
,CGS,"Centre of Applied Geodynamica",Russia
J7,CVC,Centre-Avia,Russia
,CCV,"Centro De Helicopteros Corporativos",Mexico
,ACF,"Centro de Formación Aeronáutica de Canarias",Spain
WE,CWC,"Centurion Air Cargo","United States"
,URY,"Century Aviation",Mexico
,HAI,"Century Aviation International",Canada
,XAD,"Certified Air Dispatch","United States"
,CER,"Cetraca Aviation Service","Democratic Republic of the Congo"
,IRU,"Chabahar Airlines",Iran
,CLG,"Chalair Aviation",France
OP,CHK,"Chalk's International Airlines","United States"
,CLS,"Challenge Air Transport",Germany
,CHS,"Challenge Aviation",Australia
,OFF,"Challenge International Airlines","United States"
,CHG,"Challenge Aero",Ukraine
,CPH,"Champagne Airlines",France
MG,CCP,"Champion Air","United States"
,NCH,"Chanchangi Airlines",Nigeria
2Z,CGN,"Chang An Airlines",China
,CHN,"Channel Island Aviation","United States"
,WML,"Chantilly Air","United States"
,CPL,"Chaparral Airlines","United States"
S8,CSU,"Chari Aviation Services",Chad
,CAH,"Charlan Air Charter","South Africa"
,HMD,"Charlie Hammonds Flying Service","United States"
,CGD,"Charlotte Air National Guard","United States"
,CHW,"Charter Air",Austria
,HRT,"Chartright Air",Canada
RP*,CHQ,"Chautauqua Airlines","United States"
,CBB,"Cheboksary Airenterprise JSC",Russia
,CHM,"Chemech Aviation",Pakistan
,CHZ,Cherline,Russia
,CMK,Chernomor-Avia,Russia
,CBM,"Cherokee Express","United States"
,CCY,"Cherry Air","United States"
,CAB,"Chesapeake Air Service","United States"
,CVR,"Chevron U.S.A","United States"
,CYA,"Cheyenne Airways","United States"
,CGO,"Chicago Air","United States"
C8,WDY,"Chicago Jet Group","United States"
,RAT,"Chief Rat Flight Services","South Africa"
,CCH,"Chilchota Taxi Aéreo",Mexico
,DES,"Chilcotin Caribou Aviation",Canada
,CAD,"Chilliwack Aviation",Canada
,ETN,"Chim-Nir Aviation",Israel
CI,CAL,"China Airlines",Taiwan
CK,CKK,"China Cargo Airlines",China
MU,CES,"China Eastern Airlines",China
G5,HXA,"China Express Airlines",China
,CFA,"China Flying Dragon Aviation",China
,CTH,"China General Aviation Corporation",China
,CAG,"China National Aviation Corporation",China
CJ,CBF,"China Northern Airlines",China
,CHC,"China Ocean Helicopter Corporation",China
8Y,CYZ,"China Postal Airlines",China
CZ,CSN,"China Southern Airlines",China
,CXN,"China Southwest Airlines",China
KN,CUA,"China United Airlines",China
XO,CXH,"China Xinhua Airlines",China
,CGU,"Chinguetti Airlines",Mauritania
,CEP,"Chipola Aviation","United States"
,CPW,"Chippewa Air Commuter","United States"
X7,CHF,Chitaavia,Russia
OQ,CQN,"Chongqing Airlines",China
,CAS,"Christman Air System","United States"
,OEC,"Christophorus Flugrettungsverein",Austria
,CHO,"Chrome Air Services","United States"
,CHU,"Church Aircraft","United States"
A2,CIU,"Cielos Airlines",Peru
QI,CIM,"Cimber Sterling",Denmark
C7,CIN,"Cinnamon Air","Sri Lanka"
,RRU,Cirrus,Chile
,NTS,"Cirrus Air","United States"
C9,RUS,"Cirrus Airlines",Germany
,JTI,"Cirrus Middle East",Lebanon
,FIV,CitationAir,"United States"
,XCX,Citibank,"United States"
,HZX,"Citic General Aviation",China
,SDR,"City Airline",Sweden
G3,CIX,"City Connexion Airlines",Burundi
,XBG,"City of Bangor","United States"
,CAQ,"Cityair (Chester) Limited","United Kingdom"
,CII,Cityfly,Italy
,CNB,"Cityline Hungary",Hungary
,HSR,"Citylink Airlines","United States"
,CIW,"Civair Airways","South Africa"
,CAP,"Civil Air Patrol","United States"
CT,CAT,"Civil Air Transport",Taiwan
,CIA,"Civil Aviation Authority",Slovakia
,CIV,"Civil Aviation Authority of New Zealand","New Zealand"
,CBA,"Civil Aviation Inspectorate of the Czech Republic","Czech Republic"
,FMC,"Claessens International Limited","United Kingdom"
,CLK,"Clark Aviation","United States"
,CSF,Clasair,"United Kingdom"
,CLY,"Clay Lacy Aviation","United States"
,CGK,"Click Airways",Kyrgyzstan
,CLZ,"Cloud 9 Air Charters","South Africa"
,CLD,"Clowes Estates Limited","United Kingdom"
,SDJ,"Club 328","United Kingdom"
6P,ISG,"Club Air",Italy
BX,CST,"Coast Air",Norway
,TCL,"Coastal Air Transport","United States"
,CNG,"Coastal Airways","United States"
,CSV,"Coastal Travels",Tanzania
,CHL,"Cohlmia Aviation","United States"
,OLR,Colaéreos,Ecuador
,CLE,"Colemill Enterprises","United States"
9L,CJC,"Colgan Air","United States"
,CAE,"Colibri Aviation",Canada
,CCX,"Colt International","United States"
,WCO,"Columbia Helicopters","United States"
,KLR,"Columbus Air Transport","United States"
,GHP,"Colvin Aviation","United States"
OH,COM,Comair,"United States"
MN,CAW,Comair,"South Africa"
,GCM,"Comair Flight Services","South Africa"
,CDE,"Comed Group","United Kingdom"
,CVV,Comeravia,Venezuela
,CRS,"Comercial Aérea",Mexico
,CMG,"Comet Airlines",Nigeria
,FYN,"Comfort Air",Germany
,CMJ,"Comfort Jet Services",Togo
,CLA,"Comlux Aviation",Switzerland
,KAZ,"Comlux Kazakhstan",Kazakhstan
,MLM,"Comlux Malta",Malta
,CXB,"Comlux Aruba",Aruba
,CMH,"Commair Aviation","United Kingdom"
,CTM,"Commandement Du Transport Aerien Militaire Francais",France
,CML,"Commander Air Charter",Canada
,CRM,"Commander Mexicana",Mexico
,CMS,"Commercial Aviation",Canada
,GAR,"Commodore Aviation",Australia
,CJS,"Commonwealth Jet Service","United States"
C5,UCA,CommutAir,"United States"
KR,CWK,"Comores Airlines",Comoros
,CGR,"Compagnia Generale Ripreseaeree",Italy
,CMM,"Compagnie Aérienne du Mali",Mali
,CPM,"Compagnie Mauritanienne Des Transports",Mauritania
,GIC,"Compagnie de Bauxites de Guinee",Guinea
,AIF,"Compañía Aérea de Valencia",Spain
,ATF,"Compañía Aerotécnicas Fotográficas",Spain
,LCT,"Compañía De Actividades Y Servicios De Aviación",Spain
,EJV,"Compania Ejecutiva",Mexico
,HSE,"Compania Helicopteros Del Sureste",Spain
,MDR,"Compania Mexicana De Aeroplanos",Mexico
GJ,MXC,"Compania Mexicargo",Mexico
,HSS,"Compañía Transportes Aéreos Del Sur",Spain
,TAV,"Compañía de Servicios Aéreos Tavisa",Spain
,CYF,"Company Flight",Denmark
CP,CPZ,"Compass Airlines","United States"
,CPS,"Compass International Airways","United Kingdom"
,XCO,"Compuflight Operations Service","United States"
,XCS,"Compuserve Incorporated","United States"
,COD,Concordavia,Ukraine
,CNR,"Condor Aero Services","United States"
,CIB,Condor,Germany
DE,CFG,"Condor Flugdienst",Germany
,COF,"Confort Air",Canada
,CAK,"Congo Air",Bahamas
,CGA,"Congressional Air","United States"
,ROY,"Conifair Aviation",Canada
,BSN,"Connectair Charters",Canada
,CAC,"Conquest Airlines","United States"
,CXO,"Conroe Aviation Services","United States"
,VCH,"Consorcio Helitec",Venezuela
,UZA,"Constanta Airline",Ukraine
,KIS,Contactair,Germany
,XCL,"Contel ASC","United States"
CO,COA,"Continental Airlines","United States"
CS,CMI,"Continental Micronesia","United States"
,CON,"Continental Oil","United States"
V0,VCV,Conviasa,Venezuela
,CKA,"Cook Inlet Aviation","United States"
,SVY,"Cooper Aerial Surveys","United Kingdom"
CM,CMP,"Copa Airlines",Panama
,COP,"Copper State Air Service","United States"
CQ,CCW,"Central Charter","Czech Republic"
XC,CAI,"Corendon Airlines",Turkey
,CRA,"Coronado Aerolíneas",Colombia
,CPB,"Corpac Canada",Canada
,CNC,"Corporación Aéreo Cencor",Mexico
,CPG,"Corporacion Aeroangeles",Mexico
,CGY,"Corporacion Paraguaya De Aeronautica",Paraguay
,CPT,"Corporate Air","United States"
,CPR,"Corporate Air","United States"
,CPO,"Corporate Aircraft Company","United States"
,COO,"Corporate Airlink",Canada
,CKE,"Corporate Aviation Services","United States"
,VHT,"Corporate Flight International","United States"
LF,VTE,"Contour Airlines","United States"
,CJI,"Corporate Jets","United States"
SS,CRL,Corsairfly,France
F5,COZ,"Cosmic Air",Nepal
,COT,"Costa Airlines",Venezuela
,CHI,"Cougar Helicopters",Canada
,MGB,"Coulson Flying Service","United Kingdom"
,NSW,"Country Connection Airlines",Australia
,CIK,"Country International Airlines",Kyrgyzstan
,CSD,"Courier Services","United States"
,CUT,"Court Helicopters","South Africa"
,OU,"Court Line","United Kingdom"
,CVL,"Coval Air",Canada
,COW,COWI,Denmark
7C,COY,"Coyne Aviation","United Kingdom"
,CFD,"Cranfield University","United Kingdom"
,CRE,"Cree Airways",Canada
,ELM,Crelam,Mexico
,CAN,"Crest Aviation","United Kingdom"
,KRM,"Crimea Universal Avia",Ukraine
OU,CTN,"Croatia Airlines",Croatia
,HRZ,"Croatian Air Force",Croatia
,CRX,"Cross Aviation","United Kingdom"
QE,ECC,"Crossair Europe",Switzerland
,CWX,"Crow Executive Air","United States"
,CKR,"Crown Air Systems","United States"
,CRO,"Crown Airways","United States"
,CRW,Crownair,Canada
,VCR,"Cruiser Linhas Aéreas",Brazil
,CTY,"Cryderman Air Service","United States"
,CYT,"Crystal Shamrock Airlines","United States"
CU,CUB,"Cubana de Aviación",Cuba
,CTF,"Cutter Aviation","United States"
,CBL,"Cumberland Airways (Nicholson Air Service)","United States"
,CTT,"Custom Air Transport","United States"
,RGN,"Cygnus Air",Spain
,CYC,"Cyprair Tours",Cyprus
,CYS,"Cypress Airlines",Canada
CY,CYP,"Cyprus Airways",Cyprus
YK,KYV,"Cyprus Turkish Airlines",Turkey
,CEF,"Czech Air Force","Czech Republic"
,AHD,"Czech Air Handling","Czech Republic"
OK,CSA,"Czech Airlines","Czech Republic"
,CIE,"Czech Government Flying Service","Czech Republic"
8L,CGP,"Cargo Plus Aviation","United Arab Emirates"
GJ,CDC,"CDI Cargo Airlines",China
,HNL,"CHC Helicopters Netherlands",Netherlands
5Z,KEM,CemAir,"South Africa"
,JLH,"Centro de Servicio Aeronautico",Mexico
,FCB,Cobalt,Cyprus
,CVK,"CAVOK Airlines",Ukraine
XG,CLI,Clickair,Spain
PN,CHB,"West Air (China)",China
,CRN,"Carson Air Ltd",CANADA
,DJT,Dreamjet,France
,DPJ,"Delta Private Jets","United States"
,DJR,"Desert Jet","United States"
,DLC,"Dehong South Asian General Aviation",China
,DNS,"Dniproaviaservis Company",Ukraine
,DRF,"Dream Flyers Training Center",Spain
,DMF,DMCFLY,Mexico
,GDF,"DF Aviation",Ukraine
,DDA,"D & D Aviation","United States"
,DNK,"D&K Aviation","United States"
V5,VPA,DanubeWings,Slovakia
,DHE,"DAP Helicopteros",Chile
,VLF,"DFS UK Limited","United Kingdom"
WD,DSR,"DAS Air Cargo",Uganda
,RKC,"DAS Airlines","Democratic Republic of the Congo"
DX,DTR,"DAT Danish Air Transport",Denmark
,ENT,"DAT Enterprise Limited","United Kingdom"
,BDN,"DERA Boscombe Down","United Kingdom"
,DSN,DESNA,Ukraine
,DET,"DETA Air",Kazakhstan
,DGO,"DGO Jet",Mexico
,DAE,"DHL Aero Expreso",Panama
D0,DHK,"DHL Air Limited","United Kingdom"
,DHV,"DHL Aviation","South Africa"
ES,DHX,"DHL International",Bahrain
L3,JOS,"DHL de Guatemala",Guatemala
,RSK,DSWA,"United States"
D3,DAO,"Daallo Airlines",Djibouti
N2,DAG,"Dagestan Airlines",Russia
,DHA,"Dahla Airlines","Democratic Republic of Congo"
,DCS,"DC Aviation",Germany
,DCX,Daimler-Chrysler,"United States"
,DKA,Daka,Kazakhstan
,DLR,"Dala Air Services",Nigeria
H8,KHB,Dalavia,Russia
,DXP,"Dallas Express Airlines","United States"
,DAS,"Damascene Airways","Syrian Arab Republic"
,DSA,"Danbury Airways","United States"
,DOP,Dancopter,Denmark
,DAF,"Danish Air Force",Denmark
DD,DDL,"Danish Air Lines",Denmark
,DAR,"Danish Army",Denmark
,DNY,"Danish Navy",Denmark
,DNU,"Danu Oro Transportas",Lithuania
,DRT,Darta,France
0D,DWT,"Darwin Airline",Switzerland
,DSQ,"Dasab Airlines",Uganda
,DSH,"Dash Air Charter","United States"
,GOB,"Dash Aviation","United Kingdom"
,DGX,Dasnair,Switzerland
,DAB,"Dassault Aviation",France
,CVF,"Dassault Falcon Jet Corporation","United States"
,DSO,"Dassault Falcon Service",France
,DTN,"Data International",Sudan
,XDT,"Date Transformation Corp","United States"
D5,DAU,Dauair,Germany
,DCO,"David Crawshaw Consultants Limited","United Kingdom"
,DWN,"Dawn Air","United States"
,DJS,DayJet,"United States"
,DAY,"Daya Aviation","Sri Lanka"
,DHC,"De Havilland",Canada
,IAY,"Deadalos Flugtbetriebs",Austria
,DAA,"Decatur Aviation","United States"
,DKN,"Deccan Charters",India
,JDC,"Deere and Company","United States"
,DWR,"Delaware Skyways","United States"
,DEA,"Delta Aerotaxi",Italy
,SNO,"Delta Air Charter",Canada
,ELJ,"Delta Private Jets","United States"
DL,DAL,"Delta Air Lines","United States"
,KMB,"Delta Engineering Aviation","United Kingdom"
